# Total velocity (m/s),Air temperature (K),Air pressure (Pa),Mach number (​)
18.045,265.893,6.642e4,0.055
18.036,265.952,6.65e4,0.055
18.028,266.01,6.658e4,0.055
18.019,266.069,6.666e4,0.055
18.011,266.127,6.674e4,0.055
18.002,266.186,6.681e4,0.055
17.995,266.244,6.689e4,0.055
17.984,266.303,6.697e4,0.055
17.976,266.361,6.705e4,0.055
17.968,266.42,6.713e4,0.055
17.959,266.478,6.721e4,0.055
17.952,266.537,6.728e4,0.055
17.943,266.595,6.736e4,0.055
17.933,266.653,6.744e4,0.055
17.926,266.712,6.752e4,0.055
17.917,266.77,6.76e4,0.055
17.909,266.828,6.767e4,0.055
17.901,266.886,6.775e4,0.055
17.893,266.944,6.783e4,0.055
17.884,267.003,6.791e4,0.055
17.876,267.061,6.798e4,0.055
17.867,267.119,6.806e4,0.055
17.859,267.177,6.814e4,0.055
17.851,267.235,6.822e4,0.055
17.843,267.293,6.829e4,0.054
17.835,267.351,6.837e4,0.054
17.826,267.409,6.845e4,0.054
17.818,267.467,6.853e4,0.054
17.811,267.525,6.86e4,0.054
17.802,267.583,6.868e4,0.054
17.794,267.641,6.876e4,0.054
17.786,267.698,6.884e4,0.054
17.778,267.756,6.891e4,0.054
17.77,267.814,6.899e4,0.054
17.762,267.872,6.907e4,0.054
17.754,267.93,6.915e4,0.054
17.747,267.987,6.922e4,0.054
17.738,268.045,6.93e4,0.054
17.73,268.103,6.938e4,0.054
17.722,268.16,6.945e4,0.054
17.715,268.218,6.953e4,0.054
17.706,268.275,6.961e4,0.054
17.698,268.333,6.968e4,0.054
17.691,268.391,6.976e4,0.054
17.683,268.448,6.984e4,0.054
17.675,268.506,6.992e4,0.054
17.667,268.563,6.999e4,0.054
17.659,268.62,7.007e4,0.054
17.653,268.678,7.015e4,0.054
17.643,268.735,7.023e4,0.054
17.635,268.793,7.031e4,0.054
17.627,268.85,7.039e4,0.054
17.619,268.907,7.047e4,0.054
17.61,268.964,7.055e4,0.054
17.602,269.022,7.063e4,0.054
17.594,269.079,7.071e4,0.054
17.586,269.136,7.079e4,0.054
17.578,269.193,7.087e4,0.053
17.571,269.25,7.095e4,0.053
17.562,269.308,7.103e4,0.053
17.554,269.365,7.111e4,0.053
17.546,269.422,7.119e4,0.053
17.538,269.479,7.127e4,0.053
17.53,269.536,7.136e4,0.053
17.522,269.593,7.144e4,0.053
17.514,269.65,7.152e4,0.053
17.507,269.707,7.16e4,0.053
17.497,269.764,7.168e4,0.053
17.491,269.82,7.176e4,0.053
